LevelID,HintType,RuleID,TriggerCondition,Mechanic,Priority,RequiredCorrect,RequiredIncorrect,HintText,ClueTitle,RelatedIngredients,WriteToExperimentLog
L03,ProgressiveHint,L03_Hint_RockSugar_Order,Evaluate hint,IngredientOrder,20,,,Rock sugar should go last. Let it soften the dessert.,,RockSugar,No
L03,PermanentClue,L03_RedBean_Order,Unlocked after Correct,IngredientOrder,0,,,Red bean works well early because it builds the base flavor.,Red Bean - Order Clue,RedBean,Yes
L03,PermanentClue,L03_Peel_Order,Unlocked after Correct,IngredientOrder,0,,,Dried tangerine peel works better after the base is set. Too early can make the recipe bitter.,Dried Tangerine Peel - Order Clue,DriedTangerinePeel,Yes
L03,PermanentClue,L03_RockSugar_Order,Unlocked after Correct,IngredientOrder,0,,,Rock sugar works best at the end because it softens the final taste.,Rock Sugar - Order Clue,RockSugar,Yes
L04,ProgressiveHint,L04_Hint_Combination,Evaluate hint,Combination,20,,,Peanut and black sesame are both nutty. Try grinding them together.,,"Peanut,BlackSesame",No
L04,PermanentClue,L04_Peanut_Combination,Unlocked after Correct,Combination,0,,,Peanut works well with other nutty ingredients such as black sesame.,Peanut - Combination Clue,Peanut,Yes
L04,PermanentClue,L04_BlackSesame_Combination,Unlocked after Correct,Combination,0,,,"Black sesame can blend with peanut, but too much handling can make it bitter.",Black Sesame - Combination Clue,BlackSesame,Yes
L05,ProgressiveHint,L05_Hint_NewBatch,Evaluate hint,Combination,22,,,Use New Batch after white pepper so dried tangerine peel is ground separately.,,"WhitePepper,DriedTangerinePeel",No
L05,ProgressiveHint,L05_Hint_Separate_Combination,Evaluate hint,Combination,21,,,"White pepper and dried tangerine peel should each have their own batch.",,"WhitePepper,DriedTangerinePeel",No
L05,PermanentClue,L05_WhitePepper_Separate,Unlocked after Correct,Combination,0,,,White pepper is strong. It often works better away from other sharp ingredients.,White Pepper - Batch Clue,WhitePepper,Yes
L05,PermanentClue,L05_Peel_Separate,Unlocked after Correct,Combination,0,,,Dried tangerine peel can turn bitter when it is ground with another sharp ingredient.,Dried Tangerine Peel - Batch Clue,DriedTangerinePeel,Yes
L06,ProgressiveHint,L06_Hint_BlackSesame_Ratio,Evaluate hint,Ratio,21,,,Black sesame should use the larger of the two small amounts.,,"BlackSesame,GlutinousRice",No
L06,ProgressiveHint,L06_Hint_GlutinousRice_Ratio,Evaluate hint,Ratio,20,,,Glutinous rice should use the smallest amount.,,GlutinousRice,No
L06,PermanentClue,L06_BlackSesame_Ratio,Unlocked after Correct,Ratio,0,,,"Use a little black sesame. It should be stronger than glutinous rice, but not heavy.",Black Sesame - Ratio Clue,BlackSesame,Yes
L06,PermanentClue,L06_GlutinousRice_Ratio,Unlocked after Correct,Ratio,0,,,"Use the smallest amount of glutinous rice. It should only smooth the paste.",Glutinous Rice - Ratio Clue,GlutinousRice,Yes
L07,ProgressiveHint,L07_Hint_SandGinger_Ratio,Evaluate hint,Ratio,22,,,Sand ginger should be the strongest flavor. Give it the highest amount.,,SandGinger,No
L07,ProgressiveHint,L07_Hint_CoarseSalt_Ratio,Evaluate hint,Ratio,21,,,Coarse salt should be the smallest amount. It should support the spice, not cover it.,,CoarseSalt,No
L07,ProgressiveHint,L07_Hint_Peel_Ratio,Evaluate hint,Ratio,20,,,"Use more dried tangerine peel than coarse salt, but less than sand ginger.",,"DriedTangerinePeel,CoarseSalt",No
L07,PermanentClue,L07_SandGinger_Force,Unlocked after Correct,Force,0,,,"Sand ginger needs heavy force, but too much grinding can still make it harsh.",Sand Ginger - Force Clue,SandGinger,Yes
L07,PermanentClue,L07_CoarseSalt_Ratio,Unlocked after Correct,Ratio,0,,,"Coarse salt should stay in the background. Do not make it the main flavor.",Coarse Salt - Ratio Clue,CoarseSalt,Yes
L08,ProgressiveHint,L08_Hint_Speed,Evaluate hint,Speed,20,,,White pepper should stay at a medium grinding speed. Too fast makes it harsh.,,WhitePepper,No
L08,PermanentClue,L08_WhitePepper_Speed,Unlocked after Correct,Speed,0,,,White pepper works best at medium speed. Too fast makes it harsh; too slow makes it weak.,White Pepper - Speed Clue,WhitePepper,Yes
L09,ProgressiveHint,L09_Hint_RedBean_Ratio,Evaluate hint,Ratio,22,,,"Red bean should be the largest amount. It is the base of this recipe.",,RedBean,No
L09,ProgressiveHint,L09_Hint_LotusLeaf_Ratio,Evaluate hint,Ratio,21,,,Lotus leaf should be the smallest amount. It is light and easy to cover.,,LotusLeaf,No
L09,ProgressiveHint,L09_Hint_Rice_Lotus_Combination,Evaluate hint,Combination,20,,,Glutinous rice can hold the lotus leaf flavor. Grind them together in one batch.,,"GlutinousRice,LotusLeaf",No
L09,ProgressiveHint,L09_Hint_Sesame_Lotus_Combination,Evaluate hint,Combination,19,,,Black sesame is strong. Keep it separate from lotus leaf.,,"BlackSesame,LotusLeaf",No
L09,ProgressiveHint,L09_Hint_RedBean_Order,Evaluate hint,IngredientOrder,22,,,Red bean should go first. It builds the base.,,RedBean,No
L09,ProgressiveHint,L09_Hint_LotusLeaf_Order,Evaluate hint,IngredientOrder,21,,,Lotus leaf should go last so its fresh flavor is not lost.,,LotusLeaf,No
L09,ProgressiveHint,L09_Hint_Middle_Order,Evaluate hint,IngredientOrder,20,,,"After red bean, add glutinous rice, then a smaller amount of black sesame.",,"GlutinousRice,BlackSesame",No
L09,PermanentClue,L09_LotusLeaf_Ratio,Unlocked after Correct,Ratio,0,,,Lotus leaf works best in a very small amount.,Lotus Leaf - Ratio Clue,LotusLeaf,Yes
L09,PermanentClue,L09_LotusLeaf_Combination,Unlocked after Correct,Combination,0,,,"Lotus leaf can be paired with glutinous rice, but black sesame is too strong for it.",Lotus Leaf - Combination Clue,LotusLeaf,Yes
L09,PermanentClue,L09_LotusLeaf_Order,Unlocked after Correct,IngredientOrder,0,,,"Add lotus leaf near the end. If it is used too early, its fresh flavor gets covered.",Lotus Leaf - Order Clue,LotusLeaf,Yes
L10,ProgressiveHint,L10_Hint_Douchi_Ratio,Evaluate hint,Ratio,22,,,"Yangjiang douchi should be the largest amount. It is the main savory flavor.",,YangjiangDouchi,No
L10,ProgressiveHint,L10_Hint_CoarseSalt_Ratio,Evaluate hint,Ratio,21,,,Coarse salt should be the smallest amount. It should only support the recipe.,,CoarseSalt,No
L10,ProgressiveHint,L10_Hint_Douchi_Order,Evaluate hint,IngredientOrder,22,,,Start with Yangjiang douchi to build the savory base.,,YangjiangDouchi,No
L10,ProgressiveHint,L10_Hint_Ginger_Order,Evaluate hint,IngredientOrder,21,,,"Ginger should come after douchi and before dried tangerine peel.",,Ginger,No
L10,ProgressiveHint,L10_Hint_Tail_Order,Evaluate hint,IngredientOrder,20,,,"Use dried tangerine peel near the end. Keep coarse salt very light.",,"DriedTangerinePeel,CoarseSalt",No
L10,PermanentClue,L10_Douchi_Force,Unlocked after Correct,Force,0,,,Yangjiang douchi works best with medium force. Too little is weak; too much makes it muddy.,Yangjiang Douchi - Force Clue,YangjiangDouchi,Yes
L10,PermanentClue,L10_Douchi_Ratio,Unlocked after Correct,Ratio,0,,,"Yangjiang douchi can be the main savory flavor, but too much makes the recipe heavy.",Yangjiang Douchi - Ratio Clue,YangjiangDouchi,Yes
L10,PermanentClue,L10_Ginger_Speed,Unlocked after Correct,Speed,0,,,Ginger works best at medium speed. Too fast can make it too sharp.,Ginger - Speed Clue,Ginger,Yes
L10,PermanentClue,L10_Ginger_Order,Unlocked after Correct,IngredientOrder,0,,,"Ginger works well in the middle, after the base flavor is set.",Ginger - Order Clue,Ginger,Yes
L11,ProgressiveHint,L11_Hint_SandGinger_Ratio,Evaluate hint,Ratio,22,,,Sand ginger should be the largest amount. It is the main ginger flavor.,,SandGinger,No
L11,ProgressiveHint,L11_Hint_CoarseSalt_Ratio,Evaluate hint,Ratio,21,,,"Coarse salt should be the smallest amount. It should not taste salty.",,CoarseSalt,No
L11,ProgressiveHint,L11_Hint_Scallion_Ratio,Evaluate hint,Ratio,20,,,"Use more scallion white than coarse salt, but less than ginger.",,"ScallionWhite,CoarseSalt",No
L11,ProgressiveHint,L11_Hint_Ginger_Combination,Evaluate hint,Combination,22,,,Sand ginger and ginger can be ground together.,,"SandGinger,Ginger",No
L11,ProgressiveHint,L11_Hint_Scallion_Combination,Evaluate hint,Combination,21,,,Keep scallion white separate from the ginger group.,,ScallionWhite,No
L11,ProgressiveHint,L11_Hint_CoarseSalt_Combination,Evaluate hint,Combination,20,,,Grind coarse salt separately. It does not need to join the ginger group.,,CoarseSalt,No
L11,ProgressiveHint,L11_Hint_CoarseSalt_Order,Evaluate hint,IngredientOrder,22,,,Start with coarse salt to set a light base.,,CoarseSalt,No
L11,ProgressiveHint,L11_Hint_Ginger_Order,Evaluate hint,IngredientOrder,21,,,"Add sand ginger before fresh ginger.",,"SandGinger,Ginger",No
L11,ProgressiveHint,L11_Hint_Scallion_Order,Evaluate hint,IngredientOrder,20,,,Add scallion white last so it stays fresh.,,ScallionWhite,No
L11,PermanentClue,L11_Ginger_Combination,Unlocked after Correct,Combination,0,,,Sand ginger and ginger can be ground together because they support the same main flavor.,Ginger Combination Clue,"SandGinger,Ginger",Yes
L11,PermanentClue,L11_Scallion_Order,Unlocked after Correct,IngredientOrder,0,,,Scallion white works best at the end. Do not overgrind it with strong spices.,Scallion White - Order Clue,ScallionWhite,Yes
