LevelID,HintType,RuleID,TriggerCondition,Mechanic,Priority,RequiredCorrect,RequiredIncorrect,HintText,ClueTitle,RelatedIngredients,WriteToExperimentLog
L04,PermanentClue,L04_Peanut_Combination,Unlocked after Correct,Combination,0,,,Peanut blends well with sesame-like ingredients because both belong to nutty aromas.,Peanut - Combination Clue,Peanut,Yes
L04,PermanentClue,L04_BlackSesame_Combination,Unlocked after Correct,Combination,0,,,"Black sesame can blend with peanut, but it can dominate if handled too heavily.",Black Sesame - Combination Clue,BlackSesame,Yes
L05,ProgressiveHint,L05_Hint_RedBean_Order,Evaluate hint,IngredientOrder,22,,,The thick red bean aroma should form the base first. Place red bean before dried tangerine peel and rock sugar.,,RedBean,No
L05,ProgressiveHint,L05_Hint_Peel_Order,Evaluate hint,IngredientOrder,21,,,Dried tangerine peel is appearing too early. It should be later so bitterness does not cover the bean aroma.,,DriedTangerinePeel,No
L05,ProgressiveHint,L05_Hint_RockSugar_Order,Evaluate hint,IngredientOrder,20,,,Sweetness should not take the lead. Add rock sugar last to round the finish.,,RockSugar,No
L05,PermanentClue,L05_RedBean_Order,Unlocked after Correct,IngredientOrder,0,,,Red bean works well early because it builds the base body.,Red Bean - Order Clue,RedBean,Yes
L05,PermanentClue,L05_Peel_Order,Unlocked after Correct,IngredientOrder,0,,,Dried tangerine peel works better later. Too early can release bitterness.,Dried Tangerine Peel - Order Clue,DriedTangerinePeel,Yes
L05,PermanentClue,L05_RockSugar_Order,Unlocked after Correct,IngredientOrder,0,,,Rock Sugar works best at the end to round sweetness.,Rock Sugar - Order Clue,RockSugar,Yes
L06,ProcessCheck,L06_Process_Force_Wrong,Process diagnostic,Force,30,,Force,"Sand ginger has not opened correctly yet. Use MediumHigh force, but do not push it to Heavy.",,SandGinger,No
L06,ProcessCheck,L06_Process_Duration_Wrong,Process diagnostic,GrindDuration,25,,GrindDuration,The grinding duration is not right for the salt-baked sand ginger structure yet.,,SandGinger,No
L06,ProcessCheck,L06_Process_All_Correct,Process diagnostic,"Force,GrindDuration",1,"Force,GrindDuration",,The process is correct. Keep MediumHigh force and check the ratio.,,SandGinger,No
L06,ProgressiveHint,L06_Hint_SandGinger_Ratio,Evaluate hint,Ratio,22,,,Sand ginger is the core of the salt-baked powder. It must have the highest ratio.,,SandGinger,No
L06,ProgressiveHint,L06_Hint_CoarseSalt_Ratio,Evaluate hint,Ratio,21,,,Salt is covering the spice. Coarse salt should be the lowest support note.,,CoarseSalt,No
L06,ProgressiveHint,L06_Hint_Peel_Ratio,Evaluate hint,Ratio,20,,,"Dried peel is only a light finish, but it should still be more visible than coarse salt.",,"DriedTangerinePeel,CoarseSalt",No
L06,PermanentClue,L06_SandGinger_Force,Unlocked after Correct,Force,0,,,Sand ginger likes MediumHigh force. Too light leaves it closed; too heavy makes it harsh.,Sand Ginger - Force Clue,SandGinger,Yes
L06,PermanentClue,L06_CoarseSalt_Ratio,Unlocked after Correct,Ratio,0,,,"Coarse salt should be used sparingly as support, not as the main note.",Coarse Salt - Ratio Clue,CoarseSalt,Yes
L07,ProcessCheck,L07_Process_Speed_Wrong,Process diagnostic,Speed,30,,Speed,White pepper is not releasing at the right pace yet. Adjust the pestle movement to Medium speed.,,WhitePepper,No
L07,ProcessCheck,L07_Process_Duration_Wrong,Process diagnostic,GrindDuration,25,,GrindDuration,The grinding duration is not right yet. Avoid overworking the sharp pepper aroma.,,WhitePepper,No
L07,ProcessCheck,L07_Process_All_Correct,Process diagnostic,"Speed,GrindDuration",1,"Speed,GrindDuration",,The speed and duration are correct. Now focus on ingredient grouping.,,WhitePepper,No
L07,ProgressiveHint,L07_Hint_Separate_Combination,Evaluate hint,Combination,21,,,"White pepper, peanut, and dried tangerine peel release differently. Try handling them as separate groups.",,"WhitePepper,Peanut,DriedTangerinePeel",No
L07,ProgressiveHint,L07_Hint_Pepper_Peel,Evaluate hint,Combination,20,,,Grinding white pepper with dried tangerine peel can make spice and bitterness rush out together. Separate them.,,"WhitePepper,DriedTangerinePeel",No
L07,PermanentClue,L07_WhitePepper_Speed,Unlocked after Correct,Speed,0,,,White pepper works best at Medium speed. Too fast makes it harsh; too slow leaves it under-released.,White Pepper - Speed Clue,WhitePepper,Yes
L07,PermanentClue,L07_WhitePepper_Combination,Unlocked after Correct,Combination,0,,,White pepper should not be overworked with bitter or sharp ingredients such as dried tangerine peel.,White Pepper - Combination Clue,WhitePepper,Yes
L08,ProgressiveHint,L08_Hint_RedBean_Ratio,Evaluate hint,Ratio,22,,,"Red bean should form the thickest base note, higher than glutinous rice, sesame, and lotus leaf.",,RedBean,No
L08,ProgressiveHint,L08_Hint_LotusLeaf_Ratio,Evaluate hint,Ratio,21,,,Lotus leaf is a light finishing aroma. Keep it at the lowest ratio.,,LotusLeaf,No
L08,ProgressiveHint,L08_Hint_Rice_Lotus_Combination,Evaluate hint,Combination,20,,,Glutinous rice can carry the lotus-leaf aroma. Put glutinous rice and lotus leaf in the same group.,,"GlutinousRice,LotusLeaf",No
L08,ProgressiveHint,L08_Hint_Sesame_Lotus_Combination,Evaluate hint,Combination,19,,,Black sesame is too strong and can bury lotus leaf. Keep them separate.,,"BlackSesame,LotusLeaf",No
L08,ProgressiveHint,L08_Hint_RedBean_Order,Evaluate hint,IngredientOrder,22,,,Red bean should build the base first. Put red bean in the first position.,,RedBean,No
L08,ProgressiveHint,L08_Hint_LotusLeaf_Order,Evaluate hint,IngredientOrder,21,,,Lotus leaf is fragile and should appear last.,,LotusLeaf,No
L08,ProgressiveHint,L08_Hint_Middle_Order,Evaluate hint,IngredientOrder,20,,,"After red bean, let glutinous rice form body before adding a small amount of black sesame.",,"GlutinousRice,BlackSesame",No
L08,PermanentClue,L08_LotusLeaf_Ratio,Unlocked after Correct,Ratio,0,,,Lotus leaf works best as a very low-ratio fresh accent.,Lotus Leaf - Ratio Clue,LotusLeaf,Yes
L08,PermanentClue,L08_LotusLeaf_Combination,Unlocked after Correct,Combination,0,,,"Lotus leaf can be carried by glutinous rice, but it should not be ground with strong aromas like black sesame.",Lotus Leaf - Combination Clue,LotusLeaf,Yes
L08,PermanentClue,L08_LotusLeaf_Order,Unlocked after Correct,IngredientOrder,0,,,Lotus leaf works best at the end. Early or heavy handling removes its fresh aroma.,Lotus Leaf - Order Clue,LotusLeaf,Yes
L09,ProcessCheck,L09_Process_Force_Wrong,Process diagnostic,Force,30,,Force,Yangjiang douchi is not opening correctly yet. Use Medium force; too light stays closed and too heavy turns muddy.,,YangjiangDouchi,No
L09,ProcessCheck,L09_Process_Speed_Wrong,Process diagnostic,Speed,25,,Speed,Ginger is releasing at the wrong pace. Adjust the pestle movement to Medium speed.,,Ginger,No
L09,ProcessCheck,L09_Process_Duration_Wrong,Process diagnostic,GrindDuration,20,,GrindDuration,The grinding duration is not right for the douchi structure yet.,,"YangjiangDouchi,Ginger",No
L09,ProcessCheck,L09_Process_All_Correct,Process diagnostic,"Force,Speed,GrindDuration",1,"Force,Speed,GrindDuration",,"The force, speed, and duration are correct. Continue checking ratio and order.",,"YangjiangDouchi,Ginger",No
L09,ProgressiveHint,L09_Hint_Douchi_Ratio,Evaluate hint,Ratio,22,,,"Yangjiang douchi must carry the savory main body, so it should have the highest ratio.",,YangjiangDouchi,No
L09,ProgressiveHint,L09_Hint_CoarseSalt_Ratio,Evaluate hint,Ratio,21,,,Coarse salt is only support and should stay at the lowest ratio.,,CoarseSalt,No
L09,ProgressiveHint,L09_Hint_Douchi_Order,Evaluate hint,IngredientOrder,22,,,Build the fermented savory base with douchi first.,,YangjiangDouchi,No
L09,ProgressiveHint,L09_Hint_Ginger_Order,Evaluate hint,IngredientOrder,21,,,"Ginger works in the middle, after douchi and before the finishing peel.",,Ginger,No
L09,ProgressiveHint,L09_Hint_Tail_Order,Evaluate hint,IngredientOrder,20,,,"Dried peel cleans the finish, while coarse salt is only a small base correction.",,"DriedTangerinePeel,CoarseSalt",No
L09,PermanentClue,L09_Douchi_Force,Unlocked after Correct,Force,0,,,Yangjiang douchi likes Medium force. Too light keeps it closed; too heavy makes fermentation dull or muddy.,Yangjiang Douchi - Force Clue,YangjiangDouchi,Yes
L09,PermanentClue,L09_Douchi_Ratio,Unlocked after Correct,Ratio,0,,,"Yangjiang douchi can lead the savory aroma, but too much makes the structure heavy.",Yangjiang Douchi - Ratio Clue,YangjiangDouchi,Yes
L09,PermanentClue,L09_Ginger_Speed,Unlocked after Correct,Speed,0,,,Ginger works best at Medium speed. Too fast makes the spice rush forward.,Ginger - Speed Clue,Ginger,Yes
L09,PermanentClue,L09_Ginger_Order,Unlocked after Correct,IngredientOrder,0,,,"Ginger works well in the middle, opening freshness after the main body is established.",Ginger - Order Clue,Ginger,Yes
L10,ProcessCheck,L10_Process_Force_Wrong,Process diagnostic,Force,30,,Force,Sand ginger needs MediumHigh force. Too little force keeps it closed; too much makes it harsh.,,SandGinger,No
L10,ProcessCheck,L10_Process_Speed_Wrong,Process diagnostic,Speed,25,,Speed,Ginger needs Medium speed so the spice does not suddenly cover the sand ginger.,,Ginger,No
L10,ProcessCheck,L10_Process_Duration_Wrong,Process diagnostic,GrindDuration,20,,GrindDuration,The whole process has gone too long or not long enough. Protect the fresh scallion finish.,,ScallionWhite,No
L10,ProcessCheck,L10_Process_All_Correct,Process diagnostic,"Force,Speed,GrindDuration",1,"Force,Speed,GrindDuration",,"Force, speed, and duration are in the target range. Submit the final aroma evaluation.",,"SandGinger,Ginger,ScallionWhite",No
L10,ProgressiveHint,L10_Hint_SandGinger_Ratio,Evaluate hint,Ratio,22,,,Sand ginger is the main body of the sauce and should have the highest ratio.,,SandGinger,No
L10,ProgressiveHint,L10_Hint_CoarseSalt_Ratio,Evaluate hint,Ratio,21,,,"Coarse salt only supports the base, so it should stay at the lowest ratio.",,CoarseSalt,No
L10,ProgressiveHint,L10_Hint_Scallion_Ratio,Evaluate hint,Ratio,20,,,"Scallion is light, but it should still be more visible than coarse salt to leave a fresh finish.",,"ScallionWhite,CoarseSalt",No
L10,ProgressiveHint,L10_Hint_Ginger_Combination,Evaluate hint,Combination,22,,,Sand ginger and ginger can be partly ground together so the two ginger aromas connect naturally.,,"SandGinger,Ginger",No
L10,ProgressiveHint,L10_Hint_Scallion_Combination,Evaluate hint,Combination,21,,,Scallion is fragile. Keep it separate and handle it lightly instead of grinding it with ginger.,,ScallionWhite,No
L10,ProgressiveHint,L10_Hint_CoarseSalt_Combination,Evaluate hint,Combination,20,,,Coarse salt can be crushed separately to form the salty base; it does not need to join the spice group.,,CoarseSalt,No
L10,ProgressiveHint,L10_Hint_CoarseSalt_Order,Evaluate hint,IngredientOrder,22,,,Coarse salt should be crushed first to establish the base saltiness.,,CoarseSalt,No
L10,ProgressiveHint,L10_Hint_Ginger_Order,Evaluate hint,IngredientOrder,21,,,"Sand ginger should establish the main body first, then ginger joins in the middle.",,"SandGinger,Ginger",No
L10,ProgressiveHint,L10_Hint_Scallion_Order,Evaluate hint,IngredientOrder,20,,,Scallion must be handled last so the bright green finish remains.,,ScallionWhite,No
L10,PermanentClue,L10_Ginger_Combination,Unlocked after Correct,Combination,0,,,Sand ginger and ginger can be partly ground together so the main ginger body and fresh spice connect naturally.,Ginger Combination Clue,"SandGinger,Ginger",Yes
L10,PermanentClue,L10_Scallion_Order,Unlocked after Correct,IngredientOrder,0,,,Scallion white works best at the end and should not be overground with strong spicy ingredients.,Scallion White - Order Clue,ScallionWhite,Yes
